word_id,root_id,sequence,sequence_2
"2725","1017","2","1"
"2726","1017","3","1"
"2726","201","2","3"
"2726","1","1","2"
"2727","1362","1","2"
"2727","3597","2","1"
"2728","3597","2","1"
"2728","1363","1","2"
"1362","607","1","2"
"2675","3580","3","1"
"2675","1365","2","3"
"2675","1364","1","2"
"2676","1024","1","2"
"2676","1369","3","1"
"2676","340","2","3"
"2677","21","1","3"
"2677","987","3","1"
"2677","1366","2","2"
"2700","1065","3","1"
"2700","1367","2","3"
"2700","1344","1","2"
"1260","1024","1","2"
"1260","1370","2","1"
"2729","404","1","2"
"2729","722","2","1"
"2730","54","1","3"
"2730","1215","2","2"
"2731","719","2","2"
"2731","15","1","1"
"2732","1377","2","1"
"2732","201","1","2"
"2705","1374","2","2"
"2705","56","1","1"
"1377","4055","2",NULL
"2707","1269","1","1"
"2707","1375","2","2"
"2709","252","1","2"
"2709","1426","2","1"
"2723","21","1","3"
"2723","756","2","2"
"2723","987","3","1"
"2711","1065","4",NULL
"2711","2418","2","3"
"2711","1516","3","1"
"2733","4265","2","2"
"2733","4198","3","1"
"850","4265","1","3"
"850","1379","3","1"
"850","201","2","2"
"2730","1379","3","1"
